backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	event_within_1y_label	event_within_3y_label	event_within_5y_label	three_countries_within_3y_label	three_countries_within_5y_label	spread_severity_bin
AD859	8	2.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AB130	13	2.0	2.0	0.0	1.0	1.0	1.0	1.0	3.0
AA738	29	1.0	1.0						
AD293	4	2.0	7.0						
AB320	10	2.0	2.0						
AD289	2	4.0							
AC757	1	7.0							
AD204	4	7.0	8.0						
AA199	4	2.0	8.0						
AD295	2	2.0							
AC756	11	2.0	5.0						
AA218	2	4.0							
AD294	5	2.0	5.0						
AB971	1	2.0							
AA202	2	2.0							
AA203	3	4.0	7.0						
AC477	1	2.0							
AD292	4	4.0	7.0						
AB018	2	2.0							
AG485	3	3.0	7.0						
AG646	1	7.0							
AB324	6	2.0	4.0						
AD290	3	2.0	6.0						
AD707	3	4.0	8.0						
AC595	4	2.0	6.0						
AD296	4	2.0	4.0						
AA207	2	7.0							
AC019	0								
AD208	4	2.0	7.0						
AD298	1	8.0							
AC018	3	2.0	8.0						
AD270	2	2.0							
AC022	3	4.0	6.0						
AB322	1	7.0							
AD042	0								
AD207	2	8.0							
AD291	2	6.0							
AD297	2	7.0							
AE713	1	2.0							
AC594	1	2.0		0.0	1.0	1.0	0.0	0.0	1.0
AC021	1	7.0							
AB020	5	2.0	4.0						
AD286	2	2.0							
AC758	3	2.0	7.0						
AB323	0								
AC833	2	2.0							
AA200	4	2.0	5.0						
AA216	1	8.0							
AA204	1	6.0							
AA171	34	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
AD272	2	2.0							
AE296	8	3.0	6.0						
AD041	1	2.0							
AE712	3	2.0	7.0						
AD871	2	6.0							
AA205	0								
AD710	1	8.0							
AA211	5	2.0	6.0						
AE425	3	2.0	8.0						
AC476	1	8.0							
AE670	1	2.0							
AE423	1	2.0							
AE420	1	2.0							
AC864	8	3.0	5.0						
AE419	1	2.0							
AE422	1	2.0							
AE424	1	2.0							
AC588	4	2.0	6.0						
AC627	14	2.0	3.0						
AA848	8	1.0	4.0						
AF901	1	2.0							
AD663	1	6.0							
AC320	11	1.0	5.0	1.0	1.0	1.0	0.0	1.0	3.0
AC540	5	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AD572	5	5.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AB284	1	8.0							
AB285	0			0.0	0.0	0.0	0.0	0.0	0.0
AD058	8	2.0	6.0	0.0	1.0	1.0	0.0	0.0	3.0
AD157	7	4.0	5.0						
AB325	2	2.0							
AA558	4	4.0	6.0						
AC813	1	1.0							
AB794	3	1.0	6.0						
AG287	2	2.0							
AG282	3	2.0	8.0						
AE983	2	2.0							
AG742	4	2.0	7.0						
AF315	2	7.0							
AE383	4	4.0	6.0						
AB090	1	2.0							
AE306	1	7.0							
AB087	2	3.0							
AF747	6	5.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AG389	1	8.0		0.0	0.0	0.0	0.0	0.0	1.0
AD352	5	1.0	5.0						
AG108	2	3.0		0.0	1.0	1.0	0.0	0.0	1.0
AD038	3	1.0	4.0						
AF475	1	7.0							
AC995	2	1.0							
AB088	3	1.0	8.0						
AG700	3	6.0	8.0						
AA450	18	2.0	4.0						
AE437	7	1.0	6.0						
AA404	6	2.0	5.0						
AA406	25	1.0	1.0						
AA829	1	3.0							
AA816	12	2.0	4.0						
AA945	8	6.0	6.0						
AA457	12	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AF031	6	5.0	6.0						
AD978	3	5.0	8.0						
AE373	4	4.0	5.0						
AB336	1	8.0							
AC160	5	3.0	5.0						
AD731	4	4.0	6.0						
AD824	5	2.0	6.0						
AE690	8	2.0	4.0						
AD642	8	3.0	5.0						
AB409	3	4.0	7.0						
AE027	4	2.0	6.0						
AD729	3	3.0	8.0						
AE377	2	3.0							
AF236	1	4.0							
AC969	4	3.0	5.0	0.0	1.0	1.0	0.0	1.0	2.0
AG446	7	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AH458	0			0.0	0.0	0.0	0.0	0.0	0.0
AD972	1	8.0							
AD596	3	6.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0
AE046	5	2.0	4.0						
AF250	3	6.0	7.0	0.0	0.0	0.0	0.0	0.0	2.0
AA275	33	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA021	10	1.0	4.0						
AA458	7	4.0	5.0						
AG167	6	3.0	5.0						
