backbone_id	n_training_records	complete_fraction	duplicate_fraction	change_flag_fraction	duplicate_completeness_score
AC689	3	0.0	0.0	1.0	0.3
AC690	3	0.0	0.0	1.0	0.3
AC716	3	0.0	0.0	1.0	0.3
AC799	3	0.0	0.0	1.0	0.3
AC802	3	0.0	0.0	1.0	0.3
AC844	3	0.0	0.0	1.0	0.3
AC855	3	0.0	0.0	1.0	0.3
AC913	3	0.0	0.0	1.0	0.3
AC942	3	0.0	0.0	1.0	0.3
AC948	3	0.0	0.0	1.0	0.3
AC978	3	0.0	0.0	1.0	0.3
AD158	3	0.0	0.0	1.0	0.3
AD168	3	0.0	0.0	1.0	0.3
AD198	3	0.0	0.0	1.0	0.3
AD293	3	0.0	0.0	1.0	0.3
AD328	3	0.0	0.0	1.0	0.3
AD331	3	0.0	0.0	1.0	0.3
AD358	3	0.0	0.0	1.0	0.3
AD369	3	0.0	0.0	1.0	0.3
AD476	3	0.0	0.0	1.0	0.3
AD480	3	0.0	0.0	1.0	0.3
AD536	3	0.0	0.0	1.0	0.3
AD546	3	0.0	0.0	1.0	0.3
AD548	3	0.0	0.0	1.0	0.3
AD556	3	0.0	0.0	1.0	0.3
AD575	3	0.0	0.0	1.0	0.3
AE025	3	0.0	0.0	1.0	0.3
AE088	3	0.0	0.0	1.0	0.3
AE124	3	0.0	0.0	1.0	0.3
AE129	3	0.0	0.0	1.0	0.3
AE341	3	0.0	0.0	1.0	0.3
AE415	3	0.0	0.0	1.0	0.3
AE447	3	0.0	0.0	1.0	0.3
AE465	3	0.0	0.0	1.0	0.3
AE474	3	0.0	0.0	1.0	0.3
AE487	3	0.0	0.0	1.0	0.3
AE538	3	0.0	0.0	1.0	0.3
AE539	3	0.0	0.0	1.0	0.3
AE548	3	0.0	0.0	1.0	0.3
AE601	3	0.0	0.0	1.0	0.3
AE604	3	0.0	0.0	1.0	0.3
AE622	3	0.0	0.0	1.0	0.3
AE685	3	0.0	0.0	1.0	0.3
AE703	3	0.0	0.0	1.0	0.3
AE947	3	0.0	0.0	1.0	0.3
AF080	3	0.0	0.0	1.0	0.3
AF104	3	0.0	0.0	1.0	0.3
AF428	3	0.0	0.0	1.0	0.3
AF442	3	0.0	0.0	1.0	0.3
AF607	3	0.0	0.0	1.0	0.3
AF676	3	0.0	0.0	1.0	0.3
AF686	3	0.0	0.0	1.0	0.3
AF706	3	0.0	0.0	1.0	0.3
AF802	3	0.0	0.0	1.0	0.3
AG033	3	0.0	0.0	1.0	0.3
AG351	3	0.0	0.0	1.0	0.3
AG433	3	0.0	0.0	1.0	0.3
AG445	3	0.0	0.0	1.0	0.3
AG641	3	0.0	0.0	1.0	0.3
AG653	3	0.0	0.0	1.0	0.3
AG678	3	0.0	0.0	1.0	0.3
AA007	2	0.0	0.0	1.0	0.3
AA011	2	0.0	0.0	1.0	0.3
AA013	2	0.0	0.0	1.0	0.3
AA014	2	0.0	0.0	1.0	0.3
AA026	2	0.0	0.0	1.0	0.3
AA045	2	0.0	0.0	1.0	0.3
AA067	2	0.0	0.0	1.0	0.3
AA082	2	0.0	0.0	1.0	0.3
AA084	2	0.0	0.0	1.0	0.3
AA089	2	0.0	0.0	1.0	0.3
AA103	2	0.0	0.0	1.0	0.3
AA158	2	0.0	0.0	1.0	0.3
AA175	2	0.0	0.0	1.0	0.3
AA183	2	0.0	0.0	1.0	0.3
AA197	2	0.0	0.0	1.0	0.3
AA201	2	0.0	0.0	1.0	0.3
AA206	2	0.0	0.0	1.0	0.3
AA236	2	0.0	0.0	1.0	0.3
AA243	2	0.0	0.0	1.0	0.3
AA246	2	0.0	0.0	1.0	0.3
AA255	2	0.0	0.0	1.0	0.3
AA258	2	0.0	0.0	1.0	0.3
AA303	2	0.0	0.0	1.0	0.3
AA314	2	0.0	0.0	1.0	0.3
