backbone_id	n_countries_train	training_country_missing_fraction	testing_country_missing_fraction	observed_new_countries	optimistic_new_countries	midpoint_new_countries	weighted_new_countries	eligible_for_country_bounds	label_observed	label_midpoint	label_optimistic	label_weighted
AB192	1	0.0	0.12195121951219512	17	32	25	19.36111111111111	True	1.0	1.0	1.0	1.0
AE911	0	1.0	0.0	0	0	0	0.0	False				
AF218	0	0.0	0.2	7	11	9	8.75	False				
AA590	0	0.0	0.29411764705882354	4	9	7	5.666666666666667	False				
AB235	0	1.0	0.03125	18	19	19	18.58064516129032	False				
AB038	0	1.0	0.11864406779661017	14	21	18	15.884615384615383	False				
AB167	0	0.0	0.375	6	12	9	9.600000000000001	False				
AC579	0	0.0	0.1956521739130435	7	16	12	8.702702702702702	False				
AB131	1	0.0	0.0	5	5	5	5.0	True	1.0	1.0	1.0	1.0
AA786	0	0.0	0.0	2	2	2	2.0	False				
AF085	2	0.6	0.1724137931034483	8	13	11	9.666666666666666	True	1.0	1.0	1.0	1.0
AE112	0	0.0	0.0	3	3	3	3.0	False				
AC333	3	0.6666666666666666	0.14705882352941177	14	24	19	16.413793103448278	True	1.0	1.0	1.0	1.0
AA011	1	0.5	0.7142857142857143	2	7	5	7.0	True	0.0	1.0	1.0	1.0
AA013	0	1.0	0.0	5	5	5	5.0	False				
AA709	0	0.0	0.0	2	2	2	2.0	False				
AD188	0	0.0	0.1111111111111111	5	6	6	5.625	False				
AF546	0	1.0	0.3333333333333333	2	3	3	3.0	False				
AC666	0	1.0	0.0	1	1	1	1.0	False				
AB880	0	0.0	0.0	4	4	4	4.0	False				
